node,out_burst,in_burst,ping_pong,repetition,convey,weakly_connected
1,0.19081908190819083,0.25287356321839083,0.1334981458590853,0.0,0.27485380116959063,0.2803738317757009
2,0.4723926380368098,0.5,0.3108108108108108,0.0,0.5,0.4411764705882353
3,0.6153846153846154,1.0,0.0,0.0,0.0,0.0
4,0.3625,0.35294117647058826,0.2578125,0.0,0.4,0.36363636363636365
6,0.5492957746478874,0.6666666666666666,0.20238095238095238,0.0,1.0,0.4166666666666667
7,0.3742138364779874,0.5357142857142857,0.24716981132075472,0.0,0.591304347826087,0.5196850393700787
8,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
2056,0.0,0.0,1.0,0.0,0.0,0.0
10,0.7631578947368421,0.0,0.25,0.0,0.0,0.0
13,0.3439153439153439,0.5504587155963303,0.2374429223744292,0.0,0.5151515151515151,0.5714285714285714
17,0.35714285714285715,0.10526315789473684,0.36666666666666664,0.0,0.26666666666666666,0.0625
19,1.0,1.0,0.25,0.0,0.0,1.0
20,0.2,1.0,0.0,0.0,0.0,0.0
21,0.3902439024390244,1.0,0.5,0.0,0.3333333333333333,0.5
23,0.8260869565217391,1.0,0.3333333333333333,0.0,1.0,0.8571428571428571
25,0.21428571428571427,0.55,0.0,0.0,0.42857142857142855,0.05
2080,1.0,1.0,0.625,0.0,1.0,1.0
33,0.2702702702702703,0.75,0.35443037974683544,0.0,0.5,0.75
35,0.6330645161290323,0.5128205128205128,0.25598991172761665,0.0,0.6227544910179641,0.693069306930693
39,0.6470588235294118,1.0,0.4375,0.0,0.7142857142857143,0.8333333333333334
41,0.2222222222222222,0.6,0.330188679245283,0.0,0.4583333333333333,0.5714285714285714
2089,1.0,0.0,0.75,0.0,1.0,0.0
45,1.0,1.0,0.75,0.0,1.0,1.0
4144,0.0,0.0,1.0,0.0,0.0,0.0
2097,0.0,0.0,0.5,0.0,0.0,0.0
2096,0.0,1.0,0.2,0.0,0.0,0.0
54,0.5,0.6666666666666666,0.6,0.0,0.6666666666666666,0.6666666666666666
57,0.2430939226519337,0.40625,0.09505703422053231,0.0,0.24,0.30303030303030304
60,0.4418604651162791,0.7647058823529411,0.4024390243902439,0.0,0.7,0.7692307692307693
61,0.8571428571428571,1.0,0.3333333333333333,0.0,1.0,0.0
4157,0.0,0.0,0.0,0.0,0.0,0.0
62,0.34210526315789475,0.7222222222222222,0.24,0.0,0.6428571428571429,0.4375
64,0.7166666666666667,0.8636363636363636,0.34074074074074073,0.0,0.7916666666666666,0.8648648648648649
2118,1.0,1.0,0.6875,0.0,1.0,1.0
72,1.0,1.0,0.8,0.0,0.5,1.0
4172,0.2811158798283262,0.27692307692307694,0.13135593220338984,0.0,0.2179930795847751,0.28627450980392155
77,0.7857142857142857,1.0,0.4375,0.0,1.0,0.5714285714285714
78,0.0,1.0,0.35714285714285715,0.0,0.0,1.0
2125,0.4332765474162408,0.036817882971729124,0.12871287128712872,0.0,0.047377326565143825,0.06557377049180328
88,1.0,1.0,0.6666666666666666,0.0,1.0,1.0
93,1.0,1.0,0.6363636363636364,0.0,1.0,1.0
109,0.0,0.0,0.4,0.0,0.0,0.0
113,0.6666666666666666,0.75,0.49206349206349204,0.0,0.75,0.75
2167,0.7142857142857143,1.0,0.5416666666666666,0.0,1.0,0.75
120,1.0,0.0,0.42857142857142855,0.0,1.0,0.0
132,0.5263157894736842,0.875,0.39344262295081966,0.0,0.5714285714285714,1.0
134,1.0,1.0,0.47368421052631576,0.0,1.0,1.0
135,0.4221556886227545,0.5108695652173914,0.15384615384615385,0.0,0.5052631578947369,0.45977011494252873
2187,0.4,0.6666666666666666,0.4482758620689655,0.0,1.0,0.6
2188,0.5,0.0,0.4,0.0,0.0,1.0
4238,0.6666666666666666,0.75,0.5714285714285714,0.0,1.0,0.5
143,0.6,0.6666666666666666,0.5666666666666667,0.0,1.0,0.6
144,0.5714285714285714,1.0,0.47297297297297297,0.0,1.0,0.6666666666666666
149,0.48717948717948717,0.5,0.3958333333333333,0.0,0.6,0.3333333333333333
164,0.0,0.0,1.0,0.0,0.0,0.0
167,0.5121951219512195,0.6,0.45454545454545453,0.0,0.6,0.5714285714285714
178,0.7446808510638298,0.8695652173913043,0.5581395348837209,0.0,0.8095238095238095,0.8823529411764706
4275,0.0,1.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0
198,0.8431372549019608,0.8974358974358975,0.5492957746478874,0.0,0.9512195121951219,0.8780487804878049
202,0.578125,0.6363636363636364,0.3983402489626556,0.0,0.6818181818181818,0.5897435897435898
204,0.5,0.8888888888888888,0.5384615384615384,0.0,0.75,0.3333333333333333
215,0.26666666666666666,0.6363636363636364,0.3153153153153153,0.0,0.7777777777777778,0.6470588235294118
2265,0.0,0.0,0.0,0.0,0.0,0.0
223,0.5185185185185185,0.5,0.0,0.0,0.5,0.5
235,1.0,1.0,0.7,0.0,1.0,1.0
242,1.0,1.0,0.5,0.0,0.0,1.0
243,1.0,1.0,0.8333333333333334,0.0,1.0,0.0
245,0.5384615384615384,0.75,0.4444444444444444,0.0,0.6,0.5
4350,0.0,1.0,0.06666666666666667,0.0,0.0,0.0
257,0.9594594594594594,0.25,0.041666666666666664,0.0,0.7,0.6153846153846154
4356,0.0,1.0,0.0,0.0,0.0,0.0
270,0.35555555555555557,0.15789473684210525,0.4090909090909091,0.0,0.21739130434782608,0.1724137931034483
272,0.0,0.0,0.7,0.0,0.0,0.0
2349,1.0,1.0,0.6666666666666666,0.0,1.0,1.0
304,0.17037037037037037,0.4,0.19480519480519481,0.0,0.6111111111111112,0.37037037037037035
308,0.7777777777777778,1.0,0.5,0.0,1.0,0.8
310,1.0,1.0,0.125,0.0,0.0,1.0
319,1.0,1.0,1.0,0.0,1.0,1.0
2367,0.0,0.0,0.0,0.0,0.0,0.0
330,1.0,0.0,0.8,0.0,0.0,0.0
353,0.20454545454545456,0.41935483870967744,0.2446043165467626,0.0,0.5625,0.40625
2410,1.0,0.0,1.0,0.0,1.0,0.0
384,1.0,1.0,0.6923076923076923,0.0,1.0,1.0
2436,0.0,0.0,0.0,0.0,0.0,0.0
2438,1.0,1.0,1.0,0.0,1.0,1.0
2455,0.0,1.0,0.0,0.0,0.0,0.0
415,1.0,1.0,0.7777777777777778,0.0,1.0,1.0
417,1.0,0.0,0.6666666666666666,0.0,0.0,1.0
2471,1.0,0.0,1.0,0.0,0.0,0.0
423,1.0,1.0,1.0,0.0,1.0,1.0
425,0.23270440251572327,0.40625,0.16901408450704225,0.0,0.40625,0.40625
4531,0.21106821106821108,0.1745635910224439,0.09523809523809523,0.0,0.32142857142857145,0.26136363636363635
2505,0.8,0.6666666666666666,0.75,0.0,1.0,1.0
2514,1.0,0.5,1.0,0.0,0.0,0.0
2516,0.4716981132075472,1.0,1.0,0.0,1.0,1.0
490,1.0,0.0,0.0,0.0,0.0,0.0
4587,1.0,0.0,0.0,0.0,0.0,0.0
4603,1.0,1.0,0.6666666666666666,0.0,1.0,1.0
4614,1.0,0.0,1.0,0.0,0.0,1.0
2574,0.4339622641509434,0.4186046511627907,0.2,0.0,0.7,0.4642857142857143
534,1.0,1.0,0.6666666666666666,0.0,1.0,1.0
537,0.24285714285714285,0.5384615384615384,0.2366412213740458,0.0,0.4090909090909091,0.45
4645,1.0,1.0,0.25,0.0,1.0,1.0
4646,0.64,0.75,0.625,0.0,0.75,0.8181818181818182
4654,0.19934994582881907,0.17016574585635358,0.23529411764705882,0.0,0.31683168316831684,0.1728395061728395
4661,0.23427672955974843,0.18722786647314948,0.14285714285714285,0.0,0.35,0.25
4662,0.6666666666666666,0.75,0.5,0.0,0.75,0.75
4663,0.6666666666666666,0.75,0.5,0.0,0.75,0.75
4664,0.6666666666666666,0.75,0.5,0.0,0.75,0.75
4666,0.23380726698262244,0.18394160583941604,0.07692307692307693,0.0,0.34615384615384615,0.171875
2619,0.0,0.0,0.0,0.0,0.0,0.0
4668,0.19887955182072828,0.1796875,0.0,0.0,0.32653061224489793,0.15217391304347827
4669,0.6388888888888888,0.5053763440860215,0.5,0.0,1.0,1.0
4667,0.15391084945332212,0.15653153153153154,0.0,0.0,0.37142857142857144,0.10891089108910891
4672,0.4444444444444444,0.28270042194092826,0.42857142857142855,0.0,0.5,0.5882352941176471
4673,0.23305785123966943,0.1808972503617945,0.0,0.0,0.30357142857142855,0.23333333333333334
4675,0.24498886414253898,0.2028688524590164,0.25,0.0,0.43137254901960786,0.275
4676,0.2202729044834308,0.1645101663585952,0.0,0.0,0.25,0.21428571428571427
4677,0.6486486486486487,0.5,0.0,0.0,0.0,1.0
4678,0.20871862615587847,0.1660377358490566,0.18181818181818182,0.0,0.2808219178082192,0.35353535353535354
4679,0.21303258145363407,0.18225419664268586,0.2,0.0,0.3431952662721893,0.31666666666666665
4680,0.21170610211706103,0.17654028436018956,0.1935483870967742,0.0,0.3216374269005848,0.30833333333333335
4681,0.21464019851116625,0.1848341232227488,0.1935483870967742,0.0,0.3391812865497076,0.30833333333333335
4683,0.11377473363774733,0.1399894347596408,0.09090909090909091,0.0,0.2701863354037267,0.14912280701754385
4684,0.25227963525835867,0.1625615763546798,0.05263157894736842,0.0,0.12359550561797752,0.0
4686,0.171875,0.15509761388286333,0.11428571428571428,0.0,0.2138728323699422,0.16101694915254236
4687,0.0,1.0,1.0,0.0,1.0,1.0
4688,0.20336134453781513,0.17758369723435224,0.04,0.0,0.12380952380952381,0.3333333333333333
594,0.0,1.0,0.4,0.0,0.0,1.0
4701,0.6756756756756757,0.415929203539823,0.5,0.0,0.5,0.5
2657,0.5084745762711864,0.6,0.6,0.0,0.85,0.5294117647058824
4707,0.10104914411927111,0.16140350877192983,0.0,0.0,0.04878048780487805,0.11176470588235295
2672,0.3786407766990291,0.5652173913043478,0.3333333333333333,0.0,0.7948717948717948,0.5
2674,0.3888888888888889,0.9285714285714286,1.0,0.0,0.9166666666666666,1.0
2676,0.5882352941176471,0.5384615384615384,0.3333333333333333,0.0,0.75,0.6666666666666666
2678,0.5483870967741935,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6
4739,0.0,1.0,0.0,0.0,0.0,0.0
4741,1.0,1.0,1.0,0.0,0.0,1.0
4742,1.0,1.0,1.0,0.0,0.0,1.0
4743,0.6153846153846154,0.40540540540540543,0.6666666666666666,0.0,0.8,0.8
4744,0.9285714285714286,0.5789473684210527,0.3333333333333333,0.0,1.0,0.6666666666666666
4746,1.0,1.0,0.5714285714285714,0.0,1.0,1.0
2699,0.75,0.8,1.0,0.0,1.0,1.0
2700,0.5217391304347826,0.5384615384615384,0.75,0.0,0.8461538461538461,0.6470588235294118
2701,0.6666666666666666,0.7096774193548387,0.6666666666666666,0.0,0.8571428571428571,0.7
